,0
1,1.5255915425723811e-06
2,1.630479316358214e-05
3,0.0001574595015772754
4,0.0019845052059909427
5,0.0036975117701593153
6,0.016641798424773726
7,0.05396402237489398
8,0.21240718402098527
9,0.17269874746537833
10,0.2200141824490887
11,0.24177933498336643
12,0.19749530363150075
13,0.2698644096117131
14,0.27225734058917694
15,0.2724754756703189
16,0.27085479076353786
17,0.2730095297721344
18,0.2717853132886122
19,0.26743145731930945
20,0.26877133077196663
21,0.27164545527690737
22,0.2689568704636648
23,0.2718657852065394
24,0.2698488175159054
25,0.26654051851611693
26,0.26675770353868805
27,0.26813659479218704
28,0.2689863484637427
32,0.26870901994131396
64,0.269853908503498
128,0.2713623911145021
256,0.2714304992671993
