,learning_rounds,learning_time,training_set_loglikelihood
1,100,64.496693,-42001.02182813453
2,100,65.627509,-39015.06491401643
3,100,67.003983,-36591.70292772606
4,100,68.876035,-31193.817885425786
5,100,70.653919,-28839.08834183859
6,100,74.663108,-27917.57031643645
7,100,78.729269,-27166.847442480524
8,100,84.681102,-25110.682575437884
9,100,89.279763,-23848.31632358808
10,100,90.998797,-24079.73400825656
11,100,93.505068,-22882.932813927775
12,100,97.976893,-22915.102974654063
13,100,106.614048,-21721.095924063928
14,100,116.870164,-21933.008445962365
15,100,129.212571,-21933.389211162586
16,100,143.237132,-19910.092257949305
17,100,157.405069,-20316.955075339614
18,100,173.519331,-20592.48505806854
19,100,189.569354,-19032.347445078976
20,100,207.195352,-18917.627246182266
21,100,225.931898,-20714.10163697717
22,100,245.286704,-18913.2328053253
23,100,265.757617,-18472.615198228214
24,100,286.141972,-18994.434340468673
25,100,308.958638,-18222.527772479614
26,100,331.299762,-18061.810697540033
27,100,355.209712,-18329.601303922995
32,100,488.084991,-17570.78965652391
64,100,1871.814434,-16127.145064112277
128,100,7335.533844,-14571.539945538756
256,100,29406.913548,-13706.518979521581
